CODIGO J.M.;DISTRITO;VIAL;NOMBRE;NUMERO;ANT/DES/ESQ. ;X COORD UTM ETRS89;Y COORD UTM ETRS89;LONGITUD;LATITUD;DIRECCION
1;CENTRO;PLAZA;ISABEL II;7;;439839.8515798909;4474444.743744648;-3.7091287;40.4184554;PLAZA ISABEL II,  7
1;CENTRO;PLAZA;EMPERADOR CARLOS V;9;;441226.3989947494;4473338.552926723;-3.6926839;40.4085893;PLAZA EMPERADOR CARLOS V,  9
1;CENTRO;PLAZA;JACINTO BENAVENTE;3;;440266.1916949958;4473997.407513243;-3.7040616;40.4144563;PLAZA JACINTO BENAVENTE,  3
1;CENTRO;PLAZA;TIRSO DE MOLINA;14;;440195.04248432996;4473762.022118721;-3.704878;40.4123307;PLAZA TIRSO DE MOLINA,  14
1;CENTRO;CALLE;SAN ANDRES;20;PLAZA DOS DE MAYO;440305.3293062449;4475393.997985427;-3.7037314;40.4270402;CALLE SAN ANDRES,  20
1;CENTRO;PARQUE;MADRID RIO;;"CERCANO A QUIOSCO ""BONAPARTE""";438780.686556434;4474293.682548064;-3.7215979;40.4170173;PARQUE MADRID RIO,  
1;CENTRO;PLAZA;CARMEN;2;;440340.68514453573;4474511.655912542;-3.7032318;40.4190943;PLAZA CARMEN,  2
1;CENTRO;PLAZA;CAMPILLO DEL MUNDO NUEVO;9;;439901.31;4473160.81;-3.708283;40.4068936;PLAZA CAMPILLO DEL MUNDO NUEVO,  9
2;ARGANZUELA;GLORIETA;EMBAJADORES;7;;440340.502595823;4472915.522495998;-3.7030844;40.4047155;GLORIETA EMBAJADORES,  7
2;ARGANZUELA;CALLE;MENDEZ ALVARO ;5;;441723.5839528234;4472562.06074238;-3.6867536;40.4016293;CALLE MENDEZ ALVARO ,  5
3;RETIRO;PASEO;INFANTA ISABEL;9;;441506.66754864407;4473234.044979897;-3.6893713;40.4076676;PASEO INFANTA ISABEL,  9
4;SALAMANCA;CALLE;SERRANO;32;;441624.5857204555;4475185.29602858;-3.6881608;40.4252538;CALLE SERRANO,  32
4;SALAMANCA           ;AVENIDA;FELIPE II;12;;442661.8937614112;4475023.178606287;-3.6759187;40.4238655;AVENIDA FELIPE II,  12
4;SALAMANCA;PLAZA;MANUEL BECERRA;7;;443253.38364360214;4475546.390901361;-3.6689932;40.4286194;PLAZA MANUEL BECERRA,  7
5;CHAMARTIN;PLAZA;CASTILLA;9;;441606.4695112844;4479655.688535219;-3.6887853;40.4655238;PLAZA CASTILLA,  9
6;TETUAN;PARQUE;RODRIGUEZ SAHAGUN;S/N;;439732.4695644014;4480043.6668744255;-3.7109255;40.4688851;PARQUE RODRIGUEZ SAHAGUN,  S/N
9;MONCLOA-ARAVACA     ;PASEO;PINTOR ROSALES;14;;439050.46516709065;4475223.003139668;-3.7185073;40.4254088;PASEO PINTOR ROSALES,  14
8;FUENCARRAL - EL PARDO;CALLE;COSTA BRAVA;13;;440593.8755796363;4482929.731880934;-3.7010353;40.4949458;CALLE COSTA BRAVA,  13
12;USERA;AVENIDA;RAFAELA YBARRA;S/N;PARQUE DE PRADOLONGO;439562.5824081621;4469943.716288723;-3.7119695;40.3778879;AVENIDA RAFAELA YBARRA,  S/N
12;USERA;CALLE;CAMINO DE PERALES;48;PARQUE LINEAL DEL MANZANARES;441396.2243137753;4470022.980114301;-3.6903775;40.3787329;CALLE CAMINO DE PERALES,  48
13;PUENTE DE VALLECAS;AVENIDA;ALBUFERA;1;CALLE 30;443185.6696711142;4472181.3702513585;-3.6694909;40.3983008;AVENIDA ALBUFERA,  1
13;PUENTE DE VALLECAS;AVENIDA;DEMOCRACIA;1;;446950.04317688086;4470373.225960334;-3.6249841;40.3822602;AVENIDA DEMOCRACIA,  1
13;PUENTE DE VALLECAS;CALLE;MANCHA;1;;443197.05;4470280.97;-3.6691873;40.3811817;CALLE MANCHA,  1
15;CIUDAD LINEAL;CALLE;MISTERIOS;1;;445812.42484243517;4476575.270656782;-3.6389139;40.4380587;CALLE MISTERIOS,  1
17;VILLAVERDE;CALLE;SANTA PETRONILA;15;INTERCAMBIADOR VILLAVERDE;441184.37902738166;4466844.3700481495;-3.6925797;40.3500832;CALLE SANTA PETRONILA,  15
17;VILLAVERDE;PLAZA;AGATA;1;;439775.75080961076;4466456.574980863;-3.7091292;40.3464892;PLAZA AGATA,  1
18;VILLA DE VALLECAS   ;AVENIDA;SANTA EUGENIA;79;;448377.3303911267;4470845.421365855;-3.6082083;40.3866037;AVENIDA SANTA EUGENIA,  79
20;SAN BLAS-CANILLEJAS ;PLAZA;ALSACIA;1;INTERCAMBIADOR ALSACIA;447148.5784102552;4474274.741817047;-3.6229692;40.4174202;PLAZA ALSACIA,  1
20;SAN BLAS-CANILLEJAS ;CALLE;ALCALÁ;632;INTERCAMBIADOR CANILLEJAS;448332.6397154305;4477759.963398599;-3.6092965;40.4488915;CALLE ALCALÁ,  632
21;BARAJAS;PARQUE;DE LAS NACIONES;S/N;PASEO DE PRIMAVERA;449098.13658980717;4479376.138066935;-3.6003993;40.4634983;PARQUE DE LAS NACIONES,  S/N
21;BARAJAS;PARQUE;DE LAS NACIONES;S/N;PASEO CENTRAL;448551.72539384174;4479241.618914064;-3.6068331;40.4622528;PARQUE DE LAS NACIONES,  S/N
21;BARAJAS;PARQUE;DE LAS NACIONES;S/N;OESTE AUDITORIO;448397.74902227614;4478599.446737638;-3.608597;40.4564582;PARQUE DE LAS NACIONES,  S/N
