"Dte.","Barris","2006-2010","2007-2011","2008-2012","2009-2013","2010-2014"
"BARCELONA",,"82.5","82.8","83.1","83.4","83.8"
1,"1. el Raval","82.6","79.7","79.9","80.3","80.7"
1,"2. el Barri Gòtic","84.7","81.3","81.5","81.3","81.4"
1,"3. la Barceloneta","83.3",80,"80.1","80.4","80.3"
1,"4. Sant Pere, Santa Caterina i la Ribera","85.1","82.1",82,"82.4",82
2,"5. el Fort Pienc","86.7","84.2","84.3","84.3","84.3"
2,"6. la Sagrada Família","86.5","83.9","84.2","84.3","84.6"
2,"7. la Dreta de l'Eixample","84.5","82.2","82.5","82.9","82.9"
2,"8. l'Antiga Esquerra de l'Eixample","86.1","83.5","83.7","83.8","84.2"
2,"9. la Nova Esquerra de l'Eixample","86.4","83.9",84,"84.6","85.2"
2,"10. Sant Antoni","85.8","83.2","83.3","83.8",84
3,"11. el Poble Sec - Parc Montjuïc","84.9","82.1","82.4","82.6","82.8"
3,"12. la Marina del Prat Vermell - Zona Franca",,,,,
3,"13. la Marina de Port","85.9","83.3","83.3",84,"83.9"
3,"14. la Font de la Guatlla","85.4",82,"81.8","82.3","81.7"
3,"15. Hostafrancs","84.6","82.3","82.6","82.6","83.7"
3,"16. la Bordeta","86.5","83.8","83.2","83.3","83.8"
3,"17. Sants - Badal","86.3","83.8","84.1","84.5","85.1"
3,"18. Sants","85.8","83.2","83.4","83.7","84.1"
4,"19. les Corts","86.5","84.4","84.6","85.3","85.5"
4,"20. la Maternitat i Sant Ramon","87.3","84.9",85,"85.8","86.5"
4,"21. Pedralbes","87.1","85.2","85.5","86.5","86.2"
5,"22. Vallvidrera, el Tibidabo i les Planes","81.2","79.1","79.2","80.1","80.6"
5,"23. Sarrià","87.8","84.7","84.5","84.6","84.5"
5,"24. les Tres Torres","87.5","85.6","85.6","85.9","86.2"
5,"25. Sant Gervasi - la Bonanova","86.8","84.4","84.5","84.7","84.9"
5,"26. Sant Gervasi - Galvany","86.6","84.2","84.2","84.6","84.7"
5,"27. el Putxet i el Farró","87.3","84.8","85.1","85.3","85.6"
6,"28. Vallcarca i els Penitents","85.7","83.4","83.8","83.6","83.9"
6,"29. el Coll","85.8","83.9","84.5",85,"85.2"
6,"30. la Salut","82.8",81,"81.8","81.8","82.6"
6,"31. la Vila de Gràcia","85.1","82.4","82.7",83,"83.4"
6,"32. el Camp d'en Grassot i Gràcia Nova","86.8","84.4","84.6","84.8","84.7"
7,"33. el Baix Guinardó","87.4","84.5","84.3","84.2","84.2"
7,"34. Can Baró","85.1","82.8","83.3","83.6","84.1"
7,"35. el Guinardó","85.8","83.3","83.8","84.1","84.5"
7,"36. la Font d'en Fargues","84.7","82.8","82.8","82.8","83.5"
7,"37. el Carmel","84.9","82.7","83.2","83.4","83.8"
7,"38. la Teixonera","84.6","82.3","82.4","83.2",84
7,"39. Sant Genís dels Agudells","84.9","82.7",83,"83.2","83.8"
7,"40. Montbau","80.6","78.4","79.1",80,"80.9"
7,"41. la Vall d'Hebron","85.3","83.1","83.3","83.2","83.3"
7,"42. la Clota",,,,,
7,"43. Horta","84.5","82.3","82.7","82.8","83.6"
8,"44. Vilapicina i la Torre Llobeta",86,"83.4","83.7","83.5","83.6"
8,"45. Porta","85.2","83.1","83.4",84,"84.5"
8,"46. el Turó de la Peira","85.7","83.4","84.1","84.8","85.6"
8,"47. Can Peguera","78.6","76.2","76.2","78.1",80
8,"48. la Guineueta","84.8","82.4","82.6","83.2","84.2"
8,"49. Canyelles",86,"82.8",83,83,"83.1"
8,"50. les Roquetes","83.8","81.2","81.2","81.4","81.9"
8,"51. Verdun","84.5","82.3","82.5","82.5","83.2"
8,"52. la Prosperitat","85.7","83.2","83.8",84,"84.5"
8,"53. la Trinitat Nova","82.9","80.3","79.8","79.8","80.1"
8,"54. Torre Baró",,"75.4","74.7","75.2","77.2"
8,"55. Ciutat Meridiana","84.2","81.6",82,83,"83.7"
8,"56. Vallbona",,,,,
9,"57. la Trinitat Vella","83.8","81.7","82.7","83.8","85.1"
9,"58. Baró de Viver","78.5","75.6","…","78.2","80.3"
9,"59. el Bon Pastor","83.5","81.3","81.7","82.1","82.2"
9,"60. Sant Andreu","85.5","83.2","83.7","83.9","84.7"
9,"61. la Sagrera","87.1","84.4","84.7","84.8","85.4"
9,"62. el Congrés i els Indians","86.1","83.6","83.9","84.7","84.8"
9,"63. Navas","86.5","84.1","84.4","85.4","86.3"
10,"64. el Camp de l'Arpa del Clot","86.3","83.8","84.4","84.6",85
10,"65. el Clot","85.6","83.7","84.1","84.5","85.1"
10,"66. el Parc i la Llacuna del Poblenou","85.5","82.8","83.1","83.4","83.2"
10,"67. la Vila Olímpica del Poblenou","88.8",85,"85.2","85.6","85.4"
10,"68. el Poblenou","85.1","82.4","82.4",83,"83.5"
10,"69. Diagonal Mar i el Front Marítim del Poblenou","85.3","84.2","84.4",85,"85.3"
10,"70. el Besòs i el Maresme","83.6","81.7",82,"82.4","83.1"
10,"71. Provençals del Poblenou","84.6","82.8","83.1","83.6","85.1"
10,"72. Sant Martí de Provençals","85.6",83,"83.2","83.4","83.9"
10,"73. la Verneda i la Pau","85.1","82.9","82.9","83.3","83.9"
